timestamp,altitude,cadence,distance,enhanced_altitude,enhanced_speed,heart_rate,left_right_balance,position_lat,position_long,speed,temperature
2025-01-26 11:39:15,80.39999999999998,82,184.5,80.39999999999998,3.233,134,,615385180,-1751312,3.233,
2025-01-26 11:39:16,80.60000000000002,82,187.1,80.60000000000002,3.16,135,,615385479,-1751292,3.16,
2025-01-26 11:39:17,80.79999999999995,82,189.5,80.79999999999995,3.002,135,,615385717,-1751392,3.002,
2025-01-26 11:39:18,81.0,83,191.9,81.0,2.837,135,,615385956,-1751511,2.837,
2025-01-26 11:39:19,81.39999999999998,83,194.1,81.39999999999998,2.704,136,,615386175,-1751591,2.704,
2025-01-26 11:39:20,81.60000000000002,83,196.3,81.60000000000002,2.551,136,,615386433,-1751531,2.551,
2025-01-26 11:39:21,81.79999999999995,83,198.4,81.79999999999995,2.438,136,,615386731,-1751372,2.438,
2025-01-26 11:39:22,82.20000000000005,83,200.6,82.20000000000005,2.397,136,,615387030,-1751252,2.397,
2025-01-26 11:39:23,82.39999999999998,82,203.1,82.39999999999998,2.354,137,,615387288,-1751213,2.354,
2025-01-26 11:39:24,82.79999999999995,82,205.4,82.79999999999995,2.309,137,,615387586,-1751113,2.309,
2025-01-26 11:39:25,83.0,82,207.6,83.0,2.273,137,,615387825,-1750954,2.273,
2025-01-26 11:39:26,83.39999999999998,82,210.0,83.39999999999998,2.238,137,,615388083,-1750755,2.238,
2025-01-26 11:39:27,83.60000000000002,82,212.3,83.60000000000002,2.187,137,,615388342,-1750616,2.187,
2025-01-26 11:39:28,84.0,82,215.0,84.0,2.126,137,,615388601,-1750537,2.126,
2025-01-26 11:39:29,84.20000000000005,82,217.8,84.20000000000005,2.082,137,,615388879,-1750477,2.082,
2025-01-26 11:39:30,84.60000000000002,84,220.7,84.60000000000002,2.069,137,,615389177,-1750338,2.069,
2025-01-26 11:39:31,84.79999999999995,83,223.4,84.79999999999995,2.076,137,,615389436,-1750179,2.076,
2025-01-26 11:39:32,85.20000000000005,82,225.9,85.20000000000005,2.204,138,,615389674,-1750020,2.204,
2025-01-26 11:39:33,85.39999999999998,82,228.5,85.39999999999998,2.282,138,,615389893,-1749821,2.282,
2025-01-26 11:39:34,85.79999999999995,82,231.1,85.79999999999995,2.225,139,,615390152,-1749602,2.225,
2025-01-26 11:39:35,86.20000000000005,82,233.4,86.20000000000005,2.218,139,,615390390,-1749344,2.218,
2025-01-26 11:39:36,86.20000000000005,82,236.2,86.20000000000005,2.235,139,,615390668,-1749244,2.235,
2025-01-26 11:39:37,86.60000000000002,82,238.7,86.60000000000002,2.264,140,,615390967,-1749244,2.264,
2025-01-26 11:39:38,86.79999999999995,82,241.4,86.79999999999995,2.292,141,,615391265,-1749165,2.292,
2025-01-26 11:39:39,87.0,82,244.0,87.0,2.319,141,,615391603,-1748986,2.319,
2025-01-26 11:39:40,87.39999999999998,82,246.8,87.39999999999998,2.346,142,,615391961,-1748727,2.346,
2025-01-26 11:39:41,87.39999999999998,82,249.9,87.39999999999998,2.364,142,,615392279,-1748548,2.364,
2025-01-26 11:39:42,87.79999999999995,79,253.2,87.79999999999995,2.402,142,,615392557,-1748310,2.402,
2025-01-26 11:39:43,88.0,79,256.5,88.0,2.437,143,,615392856,-1748151,2.437,
2025-01-26 11:39:44,88.0,80,259.8,88.0,2.467,143,,615393134,-1747972,2.467,
2025-01-26 11:39:45,88.39999999999998,80,263.1,88.39999999999998,2.536,143,,615393472,-1747693,2.536,
2025-01-26 11:39:46,88.60000000000002,81,266.4,88.60000000000002,2.575,144,,615393830,-1747494,2.575,
2025-01-26 11:39:47,88.79999999999995,80,270.0,88.79999999999995,2.569,144,,615394148,-1747395,2.569,
2025-01-26 11:39:48,89.0,79,273.6,89.0,2.565,144,,615394466,-1747236,2.565,
2025-01-26 11:39:49,89.20000000000005,79,276.9,89.20000000000005,2.581,145,,615394705,-1747156,2.581,
2025-01-26 11:39:50,89.39999999999998,79,279.8,89.39999999999998,2.594,145,,615394924,-1747097,2.594,
2025-01-26 11:39:51,89.60000000000002,81,282.3,89.60000000000002,2.585,145,,615395301,-1746898,2.585,
2025-01-26 11:39:52,89.79999999999995,81,284.7,89.79999999999995,2.569,146,,615395540,-1746739,2.569,
2025-01-26 11:39:53,90.0,81,288.0,90.0,2.539,146,,615395699,-1746620,2.539,
2025-01-26 11:39:54,90.0,81,290.5,90.0,2.514,146,,615395898,-1746421,2.514,
2025-01-26 11:39:55,90.20000000000005,81,292.6,90.20000000000005,2.468,146,,615396137,-1746162,2.468,
2025-01-26 11:39:56,90.39999999999998,81,294.5,90.39999999999998,2.44,146,,615396475,-1745924,2.44,
2025-01-26 11:39:57,90.60000000000002,81,296.6,90.60000000000002,2.455,146,,615396773,-1745645,2.455,
2025-01-26 11:39:58,90.60000000000002,81,299.3,90.60000000000002,2.466,146,,615397131,-1745347,2.466,
2025-01-26 11:39:59,90.79999999999995,81,302.0,90.79999999999995,2.481,146,,615397528,-1745049,2.481,
2025-01-26 11:40:00,90.79999999999995,81,305.7,90.79999999999995,2.558,146,,615397926,-1744691,2.558,
2025-01-26 11:40:01,91.0,81,309.8,91.0,2.701,147,,615398364,-1744333,2.701,
2025-01-26 11:40:02,91.20000000000005,81,313.5,91.20000000000005,2.837,147,,615398702,-1744174,2.837,
2025-01-26 11:40:03,91.20000000000005,81,318.4,91.20000000000005,2.892,147,,615399060,-1744054,2.892,
2025-01-26 11:40:04,91.20000000000005,81,322.9,91.20000000000005,2.899,148,,615399417,-1744054,2.899,
2025-01-26 11:40:05,91.39999999999998,81,327.2,91.39999999999998,2.924,148,,615399716,-1743935,2.924,
2025-01-26 11:40:06,91.39999999999998,81,331.3,91.39999999999998,2.921,148,,615399994,-1743836,2.921,
2025-01-26 11:40:07,91.60000000000002,81,334.8,91.60000000000002,2.914,148,,615400253,-1743716,2.914,
2025-01-26 11:40:08,91.60000000000002,81,337.7,91.60000000000002,2.918,148,,615400551,-1743557,2.918,
2025-01-26 11:40:09,91.79999999999995,81,340.5,91.79999999999995,2.907,148,,615400909,-1743438,2.907,
2025-01-26 11:40:10,91.79999999999995,81,342.9,91.79999999999995,2.893,148,,615401287,-1743359,2.893,
2025-01-26 11:40:11,91.79999999999995,81,345.5,91.79999999999995,2.882,148,,615401605,-1743339,2.882,
2025-01-26 11:40:12,91.79999999999995,81,348.1,91.79999999999995,2.868,148,,615401903,-1743359,2.868,
2025-01-26 11:40:13,91.79999999999995,81,351.0,91.79999999999995,2.833,148,,615402161,-1743359,2.833,
2025-01-26 11:40:14,91.79999999999995,81,353.6,91.79999999999995,2.785,148,,615402519,-1743299,2.785,
2025-01-26 11:40:15,91.79999999999995,81,356.2,91.79999999999995,2.746,148,,615402897,-1743359,2.746,
2025-01-26 11:40:16,91.79999999999995,81,359.4,91.79999999999995,2.715,149,,615403295,-1743299,2.715,
2025-01-26 11:40:17,91.79999999999995,81,362.9,91.79999999999995,2.689,149,,615403613,-1743339,2.689,
2025-01-26 11:40:18,91.79999999999995,81,366.6,91.79999999999995,2.682,149,,615403911,-1743398,2.682,
2025-01-26 11:40:19,91.79999999999995,81,369.9,91.79999999999995,2.694,150,,615404190,-1743538,2.694,
2025-01-26 11:40:20,91.79999999999995,81,372.7,91.79999999999995,2.718,150,,615404508,-1743617,2.718,
2025-01-26 11:40:21,91.79999999999995,81,375.3,91.79999999999995,2.734,150,,615404866,-1743736,2.734,
2025-01-26 11:40:22,91.79999999999995,81,378.6,91.79999999999995,2.741,151,,615405204,-1743816,2.741,
2025-01-26 11:40:23,91.79999999999995,81,382.0,91.79999999999995,2.77,151,,615405601,-1743816,2.77,
2025-01-26 11:40:24,91.79999999999995,82,385.5,91.79999999999995,2.818,151,,615405979,-1743856,2.818,
2025-01-26 11:40:25,91.79999999999995,82,388.9,91.79999999999995,2.867,151,,615406357,-1743955,2.867,
2025-01-26 11:40:26,91.79999999999995,82,392.1,91.79999999999995,2.907,151,,615406755,-1744114,2.907,
2025-01-26 11:40:27,91.79999999999995,82,395.4,91.79999999999995,2.939,151,,615407073,-1744313,2.939,
2025-01-26 11:40:28,91.79999999999995,82,399.2,91.79999999999995,2.966,151,,615407411,-1744412,2.966,
2025-01-26 11:40:29,91.79999999999995,82,402.8,91.79999999999995,2.993,151,,615407809,-1744412,2.993,
2025-01-26 11:40:30,91.79999999999995,82,406.7,91.79999999999995,3.028,151,,615408206,-1744373,3.028,
2025-01-26 11:40:31,91.79999999999995,82,410.5,91.79999999999995,3.061,151,,615408544,-1744432,3.061,
2025-01-26 11:40:32,91.79999999999995,82,414.0,91.79999999999995,3.087,151,,615408843,-1744711,3.087,
2025-01-26 11:40:33,91.79999999999995,82,417.6,91.79999999999995,3.115,151,,615409101,-1745009,3.115,
2025-01-26 11:40:34,91.79999999999995,82,420.6,91.79999999999995,3.134,151,,615409419,-1745148,3.134,
2025-01-26 11:40:35,91.79999999999995,82,423.6,91.79999999999995,3.139,151,,615409717,-1745327,3.139,
2025-01-26 11:40:36,91.79999999999995,82,426.7,91.79999999999995,3.134,150,,615410055,-1745486,3.134,
2025-01-26 11:40:37,91.60000000000002,82,429.5,91.60000000000002,3.125,150,,615410413,-1745665,3.125,
2025-01-26 11:40:38,91.60000000000002,82,432.5,91.60000000000002,3.125,150,,615410751,-1745844,3.125,
2025-01-26 11:40:39,91.60000000000002,82,435.8,91.60000000000002,3.125,150,,615411050,-1746023,3.125,
2025-01-26 11:40:40,91.60000000000002,82,438.8,91.60000000000002,3.125,150,,615411308,-1746182,3.125,
2025-01-26 11:40:41,91.39999999999998,80,441.7,91.39999999999998,3.112,151,,615411606,-1746361,3.112,
2025-01-26 11:40:42,91.39999999999998,80,444.7,91.39999999999998,3.089,151,,615411865,-1746540,3.089,
2025-01-26 11:40:43,91.39999999999998,79,447.7,91.39999999999998,3.061,150,,615412183,-1746639,3.061,
2025-01-26 11:40:44,91.39999999999998,80,450.5,91.39999999999998,3.038,150,,615412501,-1746798,3.038,
2025-01-26 11:40:45,91.39999999999998,80,453.5,91.39999999999998,3.019,150,,615412799,-1746898,3.019,
2025-01-26 11:40:46,91.20000000000005,79,456.5,91.20000000000005,3.003,150,,615413118,-1747017,3.003,
2025-01-26 11:40:47,91.20000000000005,80,459.2,91.20000000000005,2.99,150,,615413376,-1747176,2.99,
2025-01-26 11:40:48,91.20000000000005,81,461.9,91.20000000000005,2.98,150,,615413635,-1747335,2.98,
2025-01-26 11:40:49,91.20000000000005,81,464.4,91.20000000000005,2.972,150,,615413973,-1747435,2.972,
2025-01-26 11:40:50,91.20000000000005,81,467.1,91.20000000000005,2.965,150,,615414311,-1747455,2.965,
2025-01-26 11:40:51,91.20000000000005,81,470.3,91.20000000000005,2.95,150,,615414688,-1747594,2.95,
2025-01-26 11:40:52,91.20000000000005,81,473.3,91.20000000000005,2.923,150,,615415007,-1747813,2.923,
2025-01-26 11:40:53,91.20000000000005,81,476.8,91.20000000000005,2.897,150,,615415305,-1747972,2.897,
2025-01-26 11:40:54,91.20000000000005,81,479.9,91.20000000000005,2.875,151,,615415583,-1748131,2.875,
2025-01-26 11:40:55,91.20000000000005,81,482.8,91.20000000000005,2.853,151,,615415842,-1748330,2.853,
2025-01-26 11:40:56,91.0,81,485.8,91.0,2.83,150,,615416160,-1748489,2.83,
2025-01-26 11:40:57,91.0,81,488.7,91.0,2.812,150,,615416458,-1748668,2.812,
2025-01-26 11:40:58,90.79999999999995,81,492.0,90.79999999999995,2.796,150,,615416756,-1748827,2.796,
2025-01-26 11:40:59,90.79999999999995,81,495.2,90.79999999999995,2.784,150,,615416995,-1748986,2.784,
2025-01-26 11:41:00,90.60000000000002,81,498.0,90.60000000000002,2.774,150,,615417273,-1749085,2.774,
2025-01-26 11:41:01,90.60000000000002,81,500.6,90.60000000000002,2.765,150,,615417572,-1749165,2.765,
2025-01-26 11:41:02,90.60000000000002,81,502.9,90.60000000000002,2.765,150,,615417890,-1749185,2.765,
2025-01-26 11:41:03,90.60000000000002,81,505.5,90.60000000000002,2.761,150,,615418208,-1749205,2.761,
2025-01-26 11:41:04,90.39999999999998,80,508.3,90.39999999999998,2.773,150,,615418486,-1749364,2.773,
2025-01-26 11:41:05,90.39999999999998,81,511.3,90.39999999999998,2.787,150,,615418765,-1749503,2.787,
2025-01-26 11:41:06,90.39999999999998,79,514.0,90.39999999999998,2.79,150,,615419063,-1749642,2.79,
2025-01-26 11:41:07,90.20000000000005,79,516.6,90.20000000000005,2.805,151,,615419361,-1749821,2.805,
2025-01-26 11:41:08,90.20000000000005,79,519.3,90.20000000000005,2.817,151,,615419640,-1750020,2.817,
2025-01-26 11:41:09,90.0,79,522.3,90.0,2.828,151,,615419938,-1750219,2.828,
2025-01-26 11:41:10,90.0,80,525.4,90.0,2.855,151,,615420236,-1750358,2.855,
2025-01-26 11:41:11,90.0,79,528.5,90.0,2.877,151,,615420534,-1750477,2.877,
2025-01-26 11:41:12,90.0,79,531.4,90.0,2.887,151,,615420833,-1750557,2.887,
2025-01-26 11:41:13,90.0,79,534.2,90.0,2.891,151,,615421111,-1750676,2.891,
2025-01-26 11:41:14,90.0,79,537.1,90.0,2.891,151,,615421389,-1750775,2.891,
2025-01-26 11:41:15,90.0,79,539.9,90.0,2.894,151,,615421708,-1750815,2.894,
2025-01-26 11:41:16,90.0,79,542.8,90.0,2.894,151,,615422026,-1750915,2.894,
2025-01-26 11:41:17,90.0,79,545.7,90.0,2.894,151,,615422364,-1751014,2.894,
2025-01-26 11:41:18,90.0,79,548.5,90.0,2.906,151,,615422682,-1751133,2.906,
2025-01-26 11:41:19,90.0,79,551.6,90.0,2.916,151,,615423020,-1751233,2.916,
2025-01-26 11:41:20,90.0,80,554.7,90.0,2.916,151,,615423338,-1751272,2.916,
2025-01-26 11:41:21,90.0,81,557.7,90.0,2.908,151,,615423656,-1751372,2.908,
2025-01-26 11:41:22,90.0,80,560.8,90.0,2.903,151,,615423935,-1751392,2.903,
2025-01-26 11:41:23,90.0,81,563.9,90.0,2.899,150,,615424233,-1751352,2.899,
2025-01-26 11:41:24,90.0,81,566.9,90.0,2.896,150,,615424531,-1751372,2.896,
2025-01-26 11:41:25,90.0,81,570.0,90.0,2.896,150,,615424869,-1751471,2.896,
2025-01-26 11:41:26,90.0,81,572.7,90.0,2.896,150,,615425187,-1751650,2.896,
2025-01-26 11:41:27,90.0,81,575.8,90.0,2.91,150,,615425525,-1751789,2.91,
2025-01-26 11:41:28,90.0,81,578.7,90.0,2.933,150,,615425923,-1751869,2.933,
2025-01-26 11:41:29,90.0,81,581.7,90.0,2.952,150,,615426301,-1751909,2.952,
2025-01-26 11:41:30,90.0,80,585.3,90.0,2.976,150,,615426639,-1752008,2.976,
2025-01-26 11:41:31,89.79999999999995,79,588.8,89.79999999999995,3.005,149,,615426977,-1752147,3.005,
2025-01-26 11:41:32,89.79999999999995,79,592.1,89.79999999999995,3.016,149,,615427295,-1752247,3.016,
2025-01-26 11:41:33,89.79999999999995,79,595.7,89.79999999999995,3.007,148,,615427653,-1752247,3.007,
2025-01-26 11:41:34,89.60000000000002,80,599.1,89.60000000000002,3.01,148,,615428011,-1752247,3.01,
2025-01-26 11:41:35,89.60000000000002,82,602.7,89.60000000000002,3.034,148,,615428389,-1752227,3.034,
2025-01-26 11:41:36,89.39999999999998,83,606.2,89.39999999999998,3.067,147,,615428786,-1752167,3.067,
2025-01-26 11:41:37,89.39999999999998,83,609.7,89.39999999999998,3.109,147,,615429184,-1752147,3.109,
2025-01-26 11:41:38,89.39999999999998,82,613.5,89.39999999999998,3.177,147,,615429522,-1752167,3.177,
2025-01-26 11:41:39,89.20000000000005,82,616.8,89.20000000000005,3.245,147,,615429880,-1752207,3.245,
2025-01-26 11:41:40,89.20000000000005,82,620.1,89.20000000000005,3.279,146,,615430258,-1752227,3.279,
2025-01-26 11:41:41,89.0,83,623.7,89.0,3.295,146,,615430636,-1752167,3.295,
2025-01-26 11:41:42,88.79999999999995,83,627.3,88.79999999999995,3.32,146,,615431013,-1752147,3.32,
2025-01-26 11:41:43,88.79999999999995,82,631.1,88.79999999999995,3.352,145,,615431391,-1752068,3.352,
2025-01-26 11:41:44,88.60000000000002,82,634.7,88.60000000000002,3.379,145,,615431749,-1752068,3.379,
2025-01-26 11:41:45,88.60000000000002,82,638.3,88.60000000000002,3.389,145,,615432107,-1752127,3.389,
2025-01-26 11:41:46,88.39999999999998,82,641.7,88.39999999999998,3.363,145,,615432445,-1752147,3.363,
2025-01-26 11:41:47,88.20000000000005,82,644.9,88.20000000000005,3.341,145,,615432783,-1752068,3.341,
2025-01-26 11:41:48,88.0,82,648.1,88.0,3.325,145,,615433141,-1751968,3.325,
2025-01-26 11:41:49,88.0,82,651.5,88.0,3.316,145,,615433519,-1751889,3.316,
2025-01-26 11:41:50,88.0,82,654.8,88.0,3.331,145,,615433896,-1751849,3.331,
2025-01-26 11:41:51,87.79999999999995,80,658.3,87.79999999999995,3.334,145,,615434254,-1751889,3.334,
2025-01-26 11:41:52,87.60000000000002,80,661.7,87.60000000000002,3.327,145,,615434612,-1751929,3.327,
2025-01-26 11:41:53,87.39999999999998,80,664.9,87.39999999999998,3.312,146,,615434950,-1751949,3.312,
2025-01-26 11:41:54,87.39999999999998,79,668.1,87.39999999999998,3.281,146,,615435268,-1751949,3.281,
2025-01-26 11:41:55,87.20000000000005,79,671.4,87.20000000000005,3.254,146,,615435607,-1751949,3.254,
2025-01-26 11:41:56,86.79999999999995,79,674.5,86.79999999999995,3.242,146,,615435945,-1752008,3.242,
2025-01-26 11:41:57,86.79999999999995,79,677.8,86.79999999999995,3.229,147,,615436303,-1752108,3.229,
2025-01-26 11:41:58,86.60000000000002,79,681.0,86.60000000000002,3.218,147,,615436660,-1752247,3.218,
2025-01-26 11:41:59,86.39999999999998,79,684.3,86.39999999999998,3.227,147,,615437038,-1752465,3.227,
2025-01-26 11:42:00,86.20000000000005,81,687.5,86.20000000000005,3.236,147,,615437337,-1752704,3.236,
2025-01-26 11:42:01,86.20000000000005,81,690.9,86.20000000000005,3.233,147,,615437675,-1752903,3.233,
2025-01-26 11:42:02,86.0,82,694.0,86.0,3.233,147,,615438032,-1753002,3.233,
2025-01-26 11:42:03,85.79999999999995,83,697.3,85.79999999999995,3.233,147,,615438410,-1753042,3.233,
2025-01-26 11:42:04,85.39999999999998,83,700.8,85.39999999999998,3.233,147,,615438788,-1753062,3.233,
2025-01-26 11:42:05,85.39999999999998,83,704.4,85.39999999999998,3.238,147,,615439146,-1753102,3.238,
2025-01-26 11:42:06,85.20000000000005,83,708.0,85.20000000000005,3.244,147,,615439484,-1753161,3.244,
2025-01-26 11:42:07,85.0,83,711.6,85.0,3.25,147,,615439842,-1753201,3.25,
2025-01-26 11:42:08,84.79999999999995,82,714.9,84.79999999999995,3.256,147,,615440200,-1753181,3.256,
2025-01-26 11:42:09,84.79999999999995,82,718.1,84.79999999999995,3.263,147,,615440558,-1753161,3.263,
2025-01-26 11:42:10,84.60000000000002,82,721.3,84.60000000000002,3.273,147,,615440916,-1753181,3.273,
2025-01-26 11:42:11,84.39999999999998,82,724.9,84.39999999999998,3.285,147,,615441234,-1753221,3.285,
2025-01-26 11:42:12,84.20000000000005,82,728.3,84.20000000000005,3.295,147,,615441572,-1753261,3.295,
2025-01-26 11:42:13,84.20000000000005,82,731.4,84.20000000000005,3.304,147,,615441890,-1753261,3.304,
2025-01-26 11:42:14,84.20000000000005,82,734.5,84.20000000000005,3.304,147,,615442208,-1753261,3.304,
